ID,colour,cost,task1,task2,task3
59,yellow,4,ccc,rrr,bb
31,blue,5,yy,c,
37,red,2,rrrr,,
01,cyan,1,,,
05,cyan,3,rcc,,
14,cyan,5,rr,b,
27,blue,4,cy,rb,
56,yellow,3,cyy,,
63,yellow,5,rr,bb,yy
26,blue,4,bbb,cr,
43,red,4,rrr,cy,
67,yellow,6,bbb,cb,cc
38,red,3,ycc,,
34,blue,7,cr,cy,ry
06,cyan,3,cry,,
25,blue,4,ccc,rrr,yy
21,blue,3,crr,,
45,red,4,yyyy,yy,
16,cyan,6,rrr,rb,bb
30,blue,5,ccc,c,
13,cyan,5,yyy,y,
24,blue,3,cyrb,rrr,
11,cyan,4,bbbb,bb,
49,red,6,bb,yy,c
08,cyan,4,bbb,yyy,rr
19,blue,2,bbbb,,
12,cyan,5,cc,rr,yy
66,yellow,6,cc,rr,b
57,yellow,3,rby,,
60,yellow,4,yyy,rb,
53,yellow,2,yyyy,,
32,blue,6,cc,rr,y
35,red,1,,,
55,yellow,3,rbb,,
68,yellow,7,cr,cb,rb
15,cyan,6,bb,yy,r
62,yellow,4,cccc,cc,
29,blue,5,cc,bb,yy
64,yellow,5,rrr,r,
47,red,5,bbb,b,
61,yellow,4,cr,by,
46,red,5,cc,rr,bb
23,blue,3,cby,,
22,blue,3,ybb,,
07,cyan,3,cyrb,yyy,
36,red,2,rrrr,,
48,red,5,bb,y,
10,cyan,4,cy,rb,
03,cyan,2,cccc,,
17,cyan,7,rb,ry,by
52,yellow,1,,,
04,cyan,3,byy,,
65,yellow,5,cc,r,
54,yellow,2,yyyy,,
41,red,3,cyrb,ccc,
20,blue,2,bbbb,,
40,red,3,crb,,
58,yellow,3,cyrb,bbb,
28,blue,4,rrrr,rr,
18,blue,1,,,
09,cyan,4,ccc,by,
50,red,6,ccc,cy,yy
39,red,3,brr,,
51,red,7,cb,cy,by
42,red,4,bbb,yyy,cc
02,cyan,2,cccc,,
44,red,4,cr,by,
33,blue,6,yyy,ry,rr
